Emp
Const
//Alaric-4
//Barracus
//Typhon Vex
//Nexor
//Halcyon
//Brood Mother


//Zodiac Harbinger (2)
//Deranged Fanatic
//Sacred Sanctuary
//Ayrkrane Syn
Valiant Knight-5
Messale
Covert Jet
Dutiful Veteran
Razor Maiden
//Samurai
//Contaminant Purifier
Constrictor

//Noble Defiance


//Lurker Behemoth
//Deathsteel Falcion
//Inferno Demon
//Blackrock Cleaver
//Sinew Shredder

//Sacred Equalizer
//Spiteful Raptor

//Bane of Truth

//Tumblox
//Precursor Idealist
//Radar Sentry
//Necropocalypse


//Xillaclaw
//Xillanail


//Tazerecca
//Tazerious

//Nexusisider
//Nexusis

//Crushing Anvil
//Trampling Anvil

//Cryptic Niaq
//Incog Niaq

//Tartarus Brood
//Tartarus Graft

//Auger Bore
//Auger Ream

//Mongresh
//Mongarus

//Dreamreaper
//Tikalan
//Arch Nova Elite
//Elite Squadron
//Nightscreecher
//Haleflash
//Aggeroth Enraged
//Tikalan
//Trench Lobber

//Apex Overdrive
//Demi Constrictor
//Tremor Wyvern


//Omega Nexite
//Judgment Nova
//Soulsteel Bronco


//Howling Malgoth
//Withersnare
//Insanitius



